ID,Date,zn,sb,tax,marza
314,43411,2007.41,2826.26,366.63,452.22
315,43412,2173.77,3092.87,371.16,547.94
316,43413,3019.66,4326.5,540.25,766.59
317,43414,3772.85,5364.4,602,989.55
318,43415,2283.47,3447.79,518.73,645.59
319,43416,2513.58,3793.4,508.21,771.61
320,43417,2027.45,2942.91,376.99,538.47
321,43418,2120.02,3076.3,382.09,574.19
322,43419,1982.82,2858.96,339.95,536.19
323,43420,2585.1,3773.14,488.28,699.76
324,43421,3240.54,4587.84,556.11,791.19
325,43422,1874.63,2828.14,398.24,555.27
326,43423,1808.6,2629.13,319.95,500.58
327,43424,1970.63,2863.28,350.31,542.34
328,43425,1737.11,2465.98,291.28,437.59
329,43426,1678.62,2461.44,310.26,472.56
330,43427,2658.45,3855.13,474.75,721.93
331,43428,3111.6,4534.47,552.28,870.59
332,43429,1125.63,1675.96,254.49,295.84
333,43430,1769.09,2608.07,318.37,520.61
334,43431,1785.25,2535.49,312.39,437.85
335,43432,2098,2980.55,360.53,522.02
336,43433,1924.46,2762.31,328.09,509.76
337,43434,2192.24,3187.18,432.26,562.68
338,43435,2838.86,3988.51,462.76,686.89
339,43436,1214.18,1852.31,263.78,374.35
340,43437,1878.76,2721.83,329.35,513.72
341,43438,1873.09,2696.48,333.31,490.08
342,43439,2157.09,3136.35,390.95,588.31
343,43440,2164.13,3200.47,393.56,642.78
344,43441,2250.3,3249.44,400,599.14
345,43442,2788.95,4058.28,469.97,799.36
346,43443,2330.93,3034.95,436.7,267.32
347,43444,2192.35,3207.43,391.19,623.89
348,43445,1980.57,2873.09,354.48,538.04
349,43446,1987.04,2838.57,334.38,517.15
350,43447,1881.58,2755.24,325.59,548.07
351,43448,2324.52,3325.41,410.45,590.44
352,43449,2538.05,3640.13,438.68,663.4
353,43450,1031.22,1512.84,211.67,269.95
354,43451,1970.52,2816.91,338.83,507.56
355,43452,2150.68,3108.87,374.85,583.34
356,43453,2437.73,3529.52,418.36,673.43
357,43454,2635.35,3770.3,446.82,688.13
358,43455,2757.31,3961.29,473.52,730.46
359,43456,4416.64,6426.81,734.23,1275.94
360,43457,2136.16,3134.6,415.48,582.96
361,43458,3807.9,5518.87,701.45,1009.52
,,5414124.75,1218719.16,1220682.59,365027.61
